Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100.0000000000001,-0.865709858467877,-0.1296968968865597,-0.9367577864841508
104.2300949424216,-0.860688414871271,-0.1508138848786241,-0.9451411142253647
108.6391269170621,-0.8622138838072759,-0.1251682670341171,-0.8921941293286295
113.2346651302716,-0.8301517857743141,-0.1648574786030913,-0.9626596444292801
118.0245989730151,-0.8477165447738875,-0.1339920917293102,-1.159053484331281
123.0171515649861,-0.8631423693255866,-0.1106179949449915,-1.249426187957123
128.2208938716475,-0.845168668734108,-0.1085488686611939,-1.288306367857189
133.6447594184397,-0.8346375576000296,-0.127658866036494,-1.426500018300203
139.2980596274105,-0.8347334447471153,-0.1403945019684607,-1.280771225181354
145.1904998026008,-0.8172709255717967,-0.1521686103450387,-1.468594924533207
151.3321957916271,-0.8035870361493911,-0.1462837634656883,-1.369451643829251
157.7336913520643,-0.8214837848175327,-0.1451691707328487,-1.422341386861618
164.4059762524425,-0.8147278773092974,-0.1387765320326405,-1.52810859718371
171.360505138936,-0.8161659293755033,-0.1396001099925809,-1.80029137030256
178.609217200126,-0.8150052369832654,-0.1307610233932031,-1.864050002844266
186.1645566636072,-0.8002224347729031,-0.1255411738842146,-1.90095091761053
194.0394941596158,-0.7983769049390715,-0.1336938651516089,-1.979912559355498
202.247548988362,-0.7999806570765576,-0.126691679939036,-1.726112100193927
210.8028123292901,-0.809844062656765,-0.1282208482396886,-2.154791019491213
219.7199714321139,-0.8054567657738558,-0.1138277145342747,-2.121911711644815
229.0143348311534,-0.7847315277250537,-0.1222485171187025,-1.993566412035022
238.7018586262665,-0.8040565875192129,-0.1263720247747899,-2.449442005999941
248.7991738754823,-0.7929323583571923,-0.1166746759517653,-2.391445942655082
259.3236151463755,-0.7955035284254662,-0.1087665752206153,-2.433330030852986
270.2932502751869,-0.8139974956812974,-0.07826970137204693,-2.585230088090555
281.7269113847843,-0.7900528443149317,-0.1248312969736461,-2.690515276721257
293.6442272147124,-0.7737275163253204,-0.1174003591472668,-2.790825708847372
306.0656568188346,-0.7807615868575392,-0.1043484755861795,-3.086980955447181
319.0125246884172,-0.788362108825021,-0.08852505217214306,-3.246964261088763
332.5070573609534,-0.7920030684055099,-0.1029549803822584,-3.139233378230088
346.5724215775736,-0.7836464504859169,-0.08018448254686941,-3.370437416801423
361.2327640545542,-0.7914069023020125,-0.08174425600189281,-3.58600529834872
376.5132529371953,-0.7982503348831073,-0.07728414520463071,-3.568374951975088
392.4401210072382,-0.7750107217396319,-0.06463962825060887,-3.708779616870316
409.0407107179982,-0.7525807375885172,-0.1044026831172428,-3.90820580153499
426.3435211345256,-0.7732143102869953,-0.0382496212722789,-4.039184971512029
444.3782568593789,-0.7906962139523133,-0.04028919919314978,-4.266783273060298
463.1758790280082,-0.7556141773361881,-0.07924595382415196,-4.466848901505017
482.7686584612883,-0.7599454237098895,-0.06799151395170652,-4.667362346692652
503.1902310664553,-0.7982128900953022,-0.02413297183009066,-4.847716891342316
524.4756555815562,-0.7762428054276573,-0.02579459180207657,-4.992178323054837
546.6614737625438,-0.772339394204613,-0.01088651214859021,-5.313718831633736
569.7857731163404,-0.7583306102215066,-0.0208207636073614,-5.476232706853281
593.8882522875714,-0.7739443155359859,-0.006472823539649487,-5.869197866538286
619.0102892112237,-0.7709944322329271,0.02278056280455972,-6.014169374693786
645.1950121482167,-0.769167632001977,0.03079961435875883,-6.354926034714012
672.4873737258538,-0.7692617437421514,0.01770186242090862,-6.649820724830093
700.9342281102546,-0.7657012820364861,0.08737164983893118,-6.792075542960646
730.584411443248,-0.7727908628964474,0.09176091820474123,-7.423126204404028
761.4888256818282,-0.7704003340833431,0.1097218849349788,-7.558416691061538
793.7005259841002,-0.779155815179233,0.1425873764055924,-7.737053105814653
827.2748117917272,-0.7763855725337614,0.1674918871520286,-8.126048072194919
862.2693217652554,-0.7604350973268909,0.1882586285774035,-8.659958551529506
898.7441327352996,-0.7569307649276473,0.1936030742491022,-9.1313395330193
936.7618628394459,-0.7800853528684482,0.2748444252581591,-9.649799337469958
976.3877790219507,-0.7241762988462885,0.2492025849404533,-10.06419153667555
1017.68990908078,-0.7548655498175988,0.3069039824476257,-10.56438563241312
1060.73915845434,-0.7546951652661403,0.3419708289871867,-10.75963846088001
1105.609431948401,-0.7483875457824913,0.4010898847744349,-11.42373306262731
1152.377760612186,-0.7847775955415954,0.4922343196368644,-12.0716925911271
1201.124433981432,-0.7358753046849797,0.4689876399120234,-12.58536809566456
1251.93313791547,-0.758912225217057,0.5334597918793903,-13.39334652034452
1304.891098264931,-0.7327593298568569,0.5916713252356198,-14.042050748644
1360.089230616743,-0.7338640140753206,0.6566890625322906,-14.99200190920999
1417.622296373483,-0.7359689867391546,0.7400685135997608,-15.7030204983772
1477.589065435017,-0.7319347885850368,0.7870713688692982,-16.46511701799298
1540.092485761756,-0.7479171806856439,0.8574707438465938,-17.30149380379547
1605.239860110578,-0.7624593181950317,0.9719369014926161,-18.47758728611221
1673.14303024685,-0.7446108155570084,1.029340132733295,-19.52167027310433
1743.918568948799,-0.7084865804582088,1.109735973696518,-20.30637745002768
1817.687980133853,-0.7372895124262389,1.247814410791435,-21.87722490948047
1894.577907450499,-0.7224871297686146,1.309650954227924,-23.34358206166536
1974.720351693797,-0.7243596321113868,1.438807010496808,-24.71311109213544
2058.252897417765,-0.697696826707382,1.563115143316192,-26.31320111356231
2145.318949133678,-0.7053622265979294,1.705940712996186,-27.91943811210849
2236.067977499791,-0.6838789031365867,1.774216823738169,-30.30118176750449
2330.655775925117,-0.6819606599118672,1.984907703506678,-31.83811288130541
2429.244728027779,-0.6916058450779681,2.046710796485069,-34.56393363755063
2532.004086407124,-0.6551112161035468,2.196479608994882,-36.78675286850052
2639.110263208136,-0.6504992742657687,2.317499174259412,-39.76811461614506
2750.747132977031,-0.6259103327031857,2.442033602724079,-42.77554112314061
2867.106348327898,-0.6776236612160911,2.541299113648722,-46.69808371235655
2988.38766896236,-0.6548435758999291,2.651071092922676,-49.73379557430852
3114.799304607086,-0.6410733491262423,2.695859753030248,-53.7035182415222
3246.558272457852,-0.6603490868159756,2.683344053461866,-58.04468218131821
3383.890769743857,-0.6651944978614202,2.695901617935355,-62.85518255985781
3527.032562051862,-0.6244786263723732,2.592555898355112,-67.45334189239163
3676.229388076776,-0.5861453304202934,2.406006727454492,-72.13509792353514
3831.737381493625,-0.6559176139172516,2.274513090295887,-78.11041043971834
3993.823510675062,-0.59799104570899,1.896771591399229,-82.73823383008097
4162.766037009368,-0.6115521933393422,1.564652431414028,-87.44043624686992
4338.854992605741,-0.6314121978481647,1.173151440302544,-92.5931833161986
4522.392678206958,-0.6193080363490332,0.6852967815122331,-97.14984597587784
4713.694182164233,-0.6381577228650819,0.200385913169166,-101.8069816666646
4913.087921365179,-0.6275409832247665,-0.3955909188780813,-106.059744400238
5120.916205043567,-0.6536523356934094,-0.9147408803353219,-109.9199518012775
5337.53582243876,-0.6619439717194444,-1.458597202271191,-113.2572167960048
5563.318655313677,-0.6182678177443033,-2.225697833320882,-117.2782684279106
5798.652316382892,-0.7026350465122178,-2.755465490268399,-120.2759442081075
6043.940814746816,-0.6811140935683141,-3.422399328953652,-123.0778878368522
6299.605249474367,-0.6449485363421785,-4.053591896138966,-125.8853910256466
6566.084532524903,-0.6683760683097144,-4.623903963920759,-129.1505969010132
6843.836142250362,-0.6543114829735022,-5.366243662583656,-131.3519198364063
7133.336908771306,-0.6716272971450142,-5.897760602424079,-132.5637616156137
7435.083832575129,-0.6854056759647364,-6.350687134441718,-136.1868182299757
7749.594937741685,-0.7230341628374917,-7.164569857990555,-138.1815426679381
8077.410161261253,-0.7815297178027478,-7.610947977562691,-138.6641378976715
8419.092279971408,-0.6919988671520426,-8.322187588784148,-141.8341669925911
8775.227876704274,-0.6844153071907237,-8.811601669133234,-143.3690357884597
9146.428347302706,-0.6706941433385905,-9.382575435456459,-145.7835841865042
9533.33095023416,-0.7202959411786468,-9.886465189681891,-146.4854871038904
9936.599900604322,-0.7023995849476741,-10.43276708143871,-148.802940433034
10356.92751044845,-0.7203703900073655,-10.79146215075002,-151.3061255807229
10795.03537725818,-0.7169560102183985,-11.38883754556185,-152.4797583001219
11251.6756227842,-0.7342888329745032,-11.78907510304053,-157.1137164233472
11727.63218424127,-0.7226126425132255,-12.49376734529417,-156.4559941568565
12223.72216013265,-0.7719681450030231,-12.74283202439633,-161.2385199540826
12740.79721300408,-0.7776038977037331,-13.38464104754532,-161.9191590198788
13279.74503153555,-0.71505730083195,-13.68312704389808,-163.3370367595846
13841.490854481,-0.74725980053445,-14.19620365940796,-166.6923700927211
14426.99905907214,-0.8045636356953458,-14.60801206596956,-168.5030033752381
15037.27481661315,-0.7947399716924075,-14.9928265551435,-169.7482667118759
15673.36581810872,-0.7590008268463131,-15.47414454098595,-172.8805839421837
16336.36407288775,-0.7363226367153386,-16.07759580886736,-175.548263959629
17027.40778331055,-0.7109491820271381,-16.23203103919875,-177.741864289137
17747.68329877786,-0.7928423369044462,-17.0834932951582,-178.6407977701791
18498.42715239644,-0.7848950993165825,-17.5785082101814,-181.1763419786442
19280.92818379749,-0.7455630574938883,-17.24856542594055,-187.5787782557401
20096.52975175224,-0.8681178753359936,-17.49480628097495,-186.5956292027482
20946.63204038333,-0.859324156822069,-18.40339478649713,-192.5421066409391
21832.69446293124,-0.8017712774631635,-18.61773072648039,-194.6402547020272
22756.23816720202,-0.8327381473898642,-18.49298633769967,-195.6770242871938
23718.84864699823,-0.8562834225888133,-18.94212125631795,-183.7091781327707
24722.17846401552,-0.83884407353372,-35.58058057398726,-236.4848371850608
25767.95008487826,-0.7765648675840378,-31.84222102773005,-284.1123579384192
26857.95883818439,-0.8373868277509428,-21.87680048682353,-227.6077022176963
27994.07599663607,-0.7537284279875921,-21.13148822989808,-218.0136137055561
29178.25198954741,-0.8425175257371087,-21.41277175018111,-223.299692368201
30412.51975124426,-0.7349801524427761,-22.57560382933807,-219.0156649118186
31698.99821110458,-0.815763474733382,-21.7038089269283,-223.9903026937513
33039.89593123081,-0.8227911035545997,-23.79688231366458,-233.6836910073553
34437.51489799911,-0.8559038872212116,-22.38564938219049,-242.6905841149151
35894.25447399503,-0.7430137717334052,-24.73627168383736,-230.1823566487793
37412.61551711941,-0.8468653351004286,-24.79986877207475,-249.273289251682
38995.20467393667,-0.8677720956510476,-25.39175725744825,-250.2079882790159
40644.73885463578,-0.7091726611142314,-14.17107791342246,-3.605833652704518
42364.04989728618,-0.8488133475840449,-11.30217242040933,-294.5942004758403
44156.08942939618,-0.6552711886928042,2.543431939416192,-54.81387965470348
46023.93393512021,-1.120569747551299,9.879977315497058,-137.9955082404568
47970.79003681312,-1.074057097373862,11.40037678263407,-266.5584226645942
50000,-0.6297717207304142,10.95433916068787,-91.92296332107158
