Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100.0000000000001,-0.4064969537304287,-0.004465504345812494,-1.38800234740382
104.2300949424216,-0.4041827800229711,0.001696161521848472,-1.380749173274097
108.6391269170621,-0.3911018635957665,-0.01345860553970261,-1.34744999006351
113.2346651302716,-0.4035474849410434,-0.01216212129512517,-1.666786770383368
118.0245989730151,-0.3862056301500288,-0.02061043875707418,-1.723790323948862
123.0171515649861,-0.4017526452039281,-0.004396199308586323,-1.835942493179331
128.2208938716475,-0.394262750649269,-0.004767654227207211,-1.893402922601808
133.6447594184397,-0.3905381496722318,-0.02297534947663668,-1.983000134348096
139.2980596274105,-0.3825259212552699,-0.02254944586192802,-2.001591790195405
145.1904998026008,-0.3870693394360864,-0.01283036908107966,-2.119827908946661
151.3321957916271,-0.3978056558240133,-0.003670479556826736,-2.142631373622976
157.7336913520643,-0.3790328713589057,-0.02251810706157615,-2.212114953176666
164.4059762524425,-0.3839459639549584,-0.01196576040291046,-2.403132742461864
171.360505138936,-0.3843850119118176,-0.027578428754274,-2.388367423405811
178.609217200126,-0.3521399392086692,-0.04452432336060434,-2.406185384760718
186.1645566636072,-0.3882320408982264,-0.02360135236398087,-2.429637551412469
194.0394941596158,-0.3828806769926595,-0.03552407891652288,-2.787693883685108
202.247548988362,-0.3892805404478986,-0.02706015935918197,-2.786049712370669
210.8028123292901,-0.3881953889466822,-0.04282427110913919,-2.8542443249207
219.7199714321139,-0.3875821750253388,-0.015093007098108,-2.949450474976828
229.0143348311534,-0.384017921478236,-0.02018520844775228,-3.146424649535597
238.7018586262665,-0.3873688102104658,-0.02978290432708851,-3.4275454842778
248.7991738754823,-0.3691654288671215,-0.03996012760274309,-3.51349789585737
259.3236151463755,-0.3777619095782946,-0.0266926975840526,-3.565684673223494
270.2932502751869,-0.3741840504165126,-0.05462348577886417,-3.898514872191697
281.7269113847843,-0.3758880710024646,-0.04853139005178704,-3.911389992476728
293.6442272147124,-0.3722947295888717,-0.0502163992397496,-4.056746088532911
306.0656568188346,-0.3869235329697451,-0.05393650530324998,-4.241183948540552
319.0125246884172,-0.3831196564280404,-0.06526545099248068,-4.361716269424591
332.5070573609534,-0.3821315995486306,-0.05956582768766347,-4.490741753865478
346.5724215775736,-0.3702616962294163,-0.08772825009822176,-4.709298411845824
361.2327640545542,-0.356030507948601,-0.09885943559397381,-5.002474074794435
376.5132529371953,-0.3670769896990264,-0.08791233493456677,-5.198002171608309
