"Time","Ig:Measured current","Iout:Measured current","Vinductor:Measured voltage","Vout:Measured voltage"
0,0,10,-10,10
1.0000000000000002e-06,0,10,-10,10
2.0000000000000003e-06,0,10,-10,10
3.0000000000000001e-06,0,10,-10,10
3.9999999999999439e-06,0,10,-10,10
4.0000000000000574e-06,10,10,90,10
4.2000000000000462e-06,10,10,90,10
4.400000000000035e-06,10,10,90,10
4.6000000000000229e-06,10,10,90,10
4.8000000000000116e-06,10,10,90,10
4.9999999999998581e-06,10,10,90,10
5.0000000000000004e-06,10,10,90,10
5.9999999999999019e-06,10,10,90,10
6.0000000000001001e-06,0,10,-10,10
7.8000000000000812e-06,0,10,-10,10
9.6000000000000606e-06,0,10,-10,10
1.140000000000004e-05,0,10,-10,10
1.3200000000000023e-05,0,10,-10,10
1.4999999999999575e-05,0,10,-10,10
1.5000000000000002e-05,0,10,-10,10
1.6000000000000003e-05,0,10,-10,10
1.7000000000000003e-05,0,10,-10,10
1.8e-05,0,10,-10,10
1.9000000000000001e-05,0,10,-10,10
1.9999999999999432e-05,0,10,-10,10
2.0000000000000002e-05,0,10,-10,10
2.1000000000000002e-05,0,10,-10,10
2.2000000000000003e-05,0,10,-10,10
2.3e-05,0,10,-10,10
2.4000000000000001e-05,0,10,-10,10
2.4000000000000712e-05,10,10,90,10
2.4200000000000571e-05,10,10,90,10
2.4400000000000427e-05,10,10,90,10
2.4600000000000286e-05,10,10,90,10
2.4800000000000142e-05,10,10,90,10
2.499999999999929e-05,10,10,90,10
2.5000000000000001e-05,10,10,90,10
2.5999999999999619e-05,10,10,90,10
2.6000000000000385e-05,0,10,-10,10
2.780000000000031e-05,0,10,-10,10
2.9600000000000232e-05,0,10,-10,10
3.1400000000000153e-05,0,10,-10,10
3.3200000000000082e-05,0,10,-10,10
3.4999999999999008e-05,0,10,-10,10
3.5000000000000004e-05,0,10,-10,10
3.6000000000000001e-05,0,10,-10,10
3.7000000000000005e-05,0,10,-10,10
3.8000000000000002e-05,0,10,-10,10
3.9000000000000006e-05,0,10,-10,10
3.9999999999998865e-05,0,10,-10,10
4.0000000000000003e-05,0,10,-10,10
4.1e-05,0,10,-10,10
4.2000000000000004e-05,0,10,-10,10
4.3000000000000002e-05,0,10,-10,10
4.3999999999999382e-05,0,10,-10,10
4.4000000000000629e-05,10,10,90,10
4.4200000000000505e-05,10,10,90,10
4.4400000000000381e-05,10,10,90,10
4.4600000000000251e-05,10,10,90,10
4.4800000000000127e-05,10,10,90,10
4.4999999999998722e-05,10,10,90,10
4.5000000000000003e-05,10,10,90,10
4.6e-05,10,10,90,10
4.6000000000001342e-05,0,10,-10,10
4.7800000000001074e-05,0,10,-10,10
4.9600000000000806e-05,0,10,-10,10
5.1400000000000538e-05,0,10,-10,10
5.320000000000027e-05,0,10,-10,10
5.4999999999998437e-05,0,10,-10,10
5.5000000000000002e-05,0,10,-10,10
5.6000000000000006e-05,0,10,-10,10
5.7000000000000003e-05,0,10,-10,10
5.8000000000000007e-05,0,10,-10,10
5.9000000000000004e-05,0,10,-10,10
5.9999999999998301e-05,0,10,-10,10
6.0000000000000008e-05,0,10,-10,10
6.1000000000000005e-05,0,10,-10,10
6.2000000000000003e-05,0,10,-10,10
6.3000000000000013e-05,0,10,-10,10
6.3999999999999103e-05,0,10,-10,10
6.4000000000000919e-05,10,10,90,10
6.4200000000000734e-05,10,10,90,10
6.4400000000000549e-05,10,10,90,10
6.4600000000000378e-05,10,10,90,10
6.4800000000000193e-05,10,10,90,10
6.4999999999998165e-05,10,10,90,10
6.5000000000000008e-05,10,10,90,10
6.6000000000000005e-05,10,10,90,10
6.6000000000001902e-05,0,10,-10,10
6.7800000000001526e-05,0,10,-10,10
6.960000000000115e-05,0,10,-10,10
7.140000000000076e-05,0,10,-10,10
7.3200000000000383e-05,0,10,-10,10
7.4999999999997879e-05,0,10,-10,10
7.5000000000000007e-05,0,10,-10,10
7.6000000000000004e-05,0,10,-10,10
7.7000000000000001e-05,0,10,-10,10
7.8000000000000012e-05,0,10,-10,10
7.9000000000000009e-05,0,10,-10,10
7.999999999999773e-05,0,10,-10,10
8.0000000000000007e-05,0,10,-10,10
8.1000000000000004e-05,0,10,-10,10
8.2000000000000001e-05,0,10,-10,10
8.3000000000000012e-05,0,10,-10,10
